"Name of Researcher","Name of Institution","Name of Project","Type","Year","Reference","Links"
"Lewis Beer","Dundee University","Randomized clinical trial: Direct-acting antivirals as treatment for hepatitis C in people who inject drugs: Delivered in needle and syringe programs via directly observed therapy versus fortnightly collection","Article","2022","Beer, L., Inglis, S., Malaguti, A., Byrne, C., et al. (2022). Randomized clinical trial: Direct-acting antivirals as treatment for hepatitis C in people who inject drugs: Delivered in needle and syringe programs via directly observed therapy versus fortnightly collection. Journal of Viral Hepatitis, 29(8), pp.646-653.","https://doi.org/10.1111/jvh.13701"
"Alison Munro","Dundee University","Understanding the contextual factors that impact on the effective provision of opiate substitution and needle syringe programmes in the UK: A multimethod study and realist evaluation of what works, for whom and under what circumstances","Research project","2020-2023",NA,NA
"Alix Aitken-Arbuckle","Edinburgh Napier University","Realist Evaluation of an Integrated Pregnancy and Parenting Support Service (IPPSS) for mothers with drug and alcohol problems in Scotland.","PhD","2016-2023",NA,NA
"Hannah Carver","Edinburgh Napier University","Substance use communication between looked after young people and their carers: A qualitative study","PhD","2013 - 2017","Carver, H. (2017) Substance use communication between looked after young people and their carers: A qualitative study. PhD Thesis, Edinburgh Napier University.","https://www.napier.ac.uk/research-and-innovation/research-search/outputs/substance-use-communication-between-looked-after-young-people-and-formal-carers-a"
"Liz Hughes","Edinburgh Napier University","The identification and treatment of mental health and substance misuse problems in sexual assault services: A systematic review","Article","2020","Stefanidou, T., Hughes, E., Kester, K., Edmondson, A., Majeed-Ariss, R., Smith, C., et al. (2020). The identification of mental health and substance misuse problems in sexual assault services: A systematic review. PLoS ONE, 15(4).","https://www.napier.ac.uk/-/media/worktribe/output-2797457/the-identification-and-treatment-of-mental-health-and-substance-misuse-problems-in-sexual.ashx"
"Liz Hughes","Edinburgh Napier University","The RECO study: Realist Evaluation of service models and systems for CO- existing serious mental health and substance use conditions","Report","2020","https://www.bing.com/ck/a?!&&p=098b505b3f6f8b20JmltdHM9MTY4MjY0MDAwMCZpZ3VpZD0wYmUwYTEwOC1lOTE5LTZhNTMtMTMyMi1iMzJlZTg3YTZiOTkmaW5zaWQ9NTE2OA&ptn=3&hsh=3&fclid=0be0a108-e919-6a53-1322-b32ee87a6b99&psq=The+RECO+study%3a+Realist+Evaluation+of+service+models+and+systems+for+CO-+existing+serious+mental+health+and+substance+use+conditions.&u=a1aHR0cHM6Ly9uamwtYWRtaW4ubmloci5hYy51ay9kb2N1bWVudC9kb3dubG9hZC8yMDQxNjQ2&ntb=1","https://medicinehealth.leeds.ac.uk/faculty-/dir-record/research-projects/1296/the-reco-study-realist-evaluation-of-service-models-and-systems-for-co-existing-serious-mental-health-and-substance-use-conditions"
"Sonya MacVicar","Edinburgh Napier University","Breastfeeding support and opiate dependence: A think aloud study","Article","2017","MacVicar, S. P., Humphrey, T. P., & Forbes-McKay, K. E. P. (2017). Breastfeeding support and opiate dependence: A think aloud study. Midwifery, 50, 239-245. https://doi.org/10.1016/j.midw.2017.04.013 ","https://rgu-repository.worktribe.com/output/246689/breastfeeding-support-and-opiate-dependence-a-think-aloud-study"
"Sonya MacVicar","Edinburgh Napier University","Breastfeeding and the substance‐exposed mother and baby","Article","2018","MacVicar, S., Humphrey, T., & Forbes‐McKay, K. E. (2018). Breastfeeding and the substance‐exposed mother and baby. Birth: Issues in Perinatal Care, 45(4), 450-458. https://doi.org/10.1111/birt.12338  ","https://onlinelibrary.wiley.com/doi/10.1111/birt.12338"
"Joanna Miler","Edinburgh Napier University","Provision of peer support at the intersection of homelessness and problem substance use services: a systematic ‘state of the art’ review","Article","2020","Miler, J., Carver, H., Foster, R., & Parkes, T. (2020). Provision of peer support at the intersection of homelessness and problem substance use services: a systematic 'state of the art' review. BMC Public Health, 20.","https://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-020-8407-4/"
"Joanna Miler","Edinburgh Napier University","What treatment and services are effective for people who are homeless and use drugs? A systematic ‘review of reviews’","Article","2021","Miler, J., Carver, H., Masterton, W., Parkes, T., Maden, M., Jones, L., & Sumnall, H. (2021) What treatment and services are effective for people who are homeless and use drugs? A systematic ‘review of reviews’. PLOS ONE, 16 (7) e0254729. https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0254729","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0254729"
